,bank,year,keyword,segment,count
0,BAB-BacABank,2017,nhận diện giọng nói,Voice recognition,0
0,BAB-BacABank,2017,Voice recognition,Voice recognition,0
0,BAB-BacABank,2017,xác thực vân tay,Fingerprint recognition,0
0,BAB-BacABank,2017,Fingerprint recognition,Fingerprint recognition,0
0,BAB-BacABank,2017,công nghệ chuỗi khối,Blockchain,0
0,BAB-BacABank,2017,blockchain,Blockchain,0
0,BAB-BacABank,2017,điện toán đám mây,Cloud computing,0
0,BAB-BacABank,2017,Hệ thống PKI,Cloud computing,0
0,BAB-BacABank,2017,Cloud computing,Cloud computing,0
0,BAB-BacABank,2017,Cloud service,Cloud service,0
0,BAB-BacABank,2017,Salesforce Financial Services Cloud,Cloud service,0
0,BAB-BacABank,2017,dịch vụ đám mây,Cloud service,0
0,BAB-BacABank,2017,đám mây,Cloud service,0
0,BAB-BacABank,2017,Cloud platform,Cloud platform,0
0,BAB-BacABank,2017,nền tảng trải nghiệm đám mây,Cloud platform,0
0,BAB-BacABank,2017,Adobe Experience Cloud,Cloud platform,0
0,BAB-BacABank,2017,Dữ liệu (Data),Big Data,0
0,BAB-BacABank,2017,Dữ liệu lớn,Big Data,0
0,BAB-BacABank,2017,Big Data,Big Data,0
0,BAB-BacABank,2017,Khoa học dữ liệu,Data mining,0
0,BAB-BacABank,2017,Máy học,Data mining,0
0,BAB-BacABank,2017,Data mining,Data mining,0
0,BAB-BacABank,2017,Mô hình dữ liệu,Data visualization,0
0,BAB-BacABank,2017,Dữ liệu và phân tích,Data visualization,0
0,BAB-BacABank,2017,phân tích dữ liệu,Data visualization,0
0,BAB-BacABank,2017,Data visualization,Data visualization,0
0,BAB-BacABank,2017,Thanh toán trực tuyến,Online Payment,0
0,BAB-BacABank,2017,Chuyển tiền trên kênh số,Online Payment,0
0,BAB-BacABank,2017,Thanh toán không tiếp xúc,Online Payment,0
0,BAB-BacABank,2017,Thanh toán điện tử,Online Payment,0
0,BAB-BacABank,2017,Thanh toán ECOM,Online Payment,0
0,BAB-BacABank,2017,Giao dịch công nghệ số,Online Payment,0
0,BAB-BacABank,2017,Giao dịch trực tuyến,Online Payment,0
0,BAB-BacABank,2017,Dịch vụ trực tuyến,Online Payment,0
0,BAB-BacABank,2017,Online Payment,Online Payment,0
0,BAB-BacABank,2017,Chuyển tiền qua số điện thoại,Mobile Payment,0
0,BAB-BacABank,2017,Mobile Payment,Mobile Payment,0
0,BAB-BacABank,2017,SMS,Mobile Payment,0
0,BAB-BacABank,2017,QR Code,QR code payment,0
0,BAB-BacABank,2017,mã QR,QR code payment,0
0,BAB-BacABank,2017,VietQR,QR code payment,0
0,BAB-BacABank,2017,Không dùng tiền mặt,Digital wallet,0
0,BAB-BacABank,2017,Ví điện tử,Digital wallet,0
0,BAB-BacABank,2017,Tài khoản trực tuyến,Digital wallet,0
0,BAB-BacABank,2017,Digital wallet,Digital wallet,0
0,BAB-BacABank,2017,Tiền gửi có kỳ hạn trực tuyến,Online loan,0
0,BAB-BacABank,2017,vay mua nhà trực tuyến,Online loan,0
0,BAB-BacABank,2017,Online loan,Online loan,0
0,BAB-BacABank,2017,Ngoại hối online,Online finance,0
0,BAB-BacABank,2017,Online finance,Online finance,0
0,BAB-BacABank,2017,smart contract,Lending platform,0
0,BAB-BacABank,2017,Hợp đồng thông minh,Lending platform,0
0,BAB-BacABank,2017,e-form,Lending platform,0
0,BAB-BacABank,2017,Lending platform,Lending platform,0
0,BAB-BacABank,2017,Inclusive credit,Inclusive credit,0
0,BAB-BacABank,2017,Customer portrait,Customer portrait,0
0,BAB-BacABank,2017,Mô hình hành vi,Customer portrait,0
0,BAB-BacABank,2017,mô hình VaR,Predictive model,0
0,BAB-BacABank,2017,Mô hình đo lường rủi ro,Predictive model,0
0,BAB-BacABank,2017,Mô hình cảnh báo nợ,Predictive model,0
